format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,mpfr+754,add,26.7361,37402592,0.193,16384,16384,719,0.3150
fp32,cpu-hw,add,0.0588,17009502014,0.000,16384,16384,262144,0.2525
fp32,libcft,mul,109.0186,9172750,1.000,16384,16384,175,0.3126
fp32,mpfr,mul,11.9470,83703159,0.110,16384,16384,1546,0.3026
fp32,mpfr+754,mul,22.3181,44806759,0.205,16384,16384,839,0.3068
fp32,cpu-hw,mul,0.0588,16992408926,0.001,16384,16384,262144,0.2528
fp32,libcft,fma,117.7632,8491618,1.000,16384,16384,162,0.3126
fp32,mpfr,fma,30.7034,32569645,0.261,16384,16384,621,0.3124
fp32,mpfr+754,fma,41.8547,23892186,0.355,16384,16384,451,0.3093
fp32,cpu-hw,fma,0.1421,7036144864,0.001,16384,16384,120573,0.2808
fp32,libcft,div,1963.7573,509228,1.000,16384,16384,10,0.3217
fp32,mpfr,div,17.8555,56005183,0.009,16384,16384,1071,0.3133
fp32,mpfr+754,div,27.1415,36843959,0.014,16384,16384,717,0.3188
fp32,cpu-hw,div,0.0769,13000551120,0.000,16384,16384,255796,0.3224
fp32,libcft,sqrt,2437.9730,410177,1.000,16384,16384,8,0.3196
fp32,mpfr,sqrt,20.7912,48097284,0.009,16384,16384,899,0.3062
fp32,mpfr+754,sqrt,31.0677,32187759,0.013,16384,16384,598,0.3044
fp32,cpu-hw,sqrt,0.1534,6520494301,0.000,16384,16384,127630,0.3207
fp32,libcft,add,138.6117,7214398,1.000,65536,65536,35,0.3179
fp32,mpfr,add,17.3773,57546275,0.125,65536,65536,275,0.3132
fp32,mpfr+754,add,27.0963,36905388,0.195,65536,65536,176,0.3125
fp32,cpu-hw,add,0.0931,10743344775,0.001,65536,65536,51803,0.3160
fp32,libcft,mul,108.7260,9197435,1.000,65536,65536,43,0.3064
fp32,mpfr,mul,12.0670,82870717,0.111,65536,65536,388,0.3068
fp32,mpfr+754,mul,22.7035,44046127,0.209,65536,65536,209,0.3110
fp32,cpu-hw,mul,0.0925,10814120525,0.001,65536,65536,48070,0.2913
fp32,libcft,fma,117.1093,8539028,1.000,65536,65536,41,0.3147
fp32,mpfr,fma,31.5266,31719294,0.269,65536,65536,153,0.3161
fp32,mpfr+754,fma,42.6702,23435564,0.364,65536,65536,113,0.3160
fp32,cpu-hw,fma,0.1399,7146625853,0.001,65536,65536,34371,0.3152
fp32,libcft,div,1973.3734,506746,1.000,65536,65536,3,0.3880
fp32,mpfr,div,18.2486,54798600,0.009,65536,65536,263,0.3145
fp32,mpfr+754,div,27.3799,36523170,0.014,65536,65536,174,0.3122
fp32,cpu-hw,div,0.0916,10914200074,0.000,65536,65536,52423,0.3148
fp32,libcft,sqrt,2417.6102,413632,1.000,65536,65536,2,0.3169
fp32,mpfr,sqrt,22.0565,45338162,0.009,65536,65536,217,0.3137
fp32,mpfr+754,sqrt,31.8672,31380215,0.013,65536,65536,149,0.3112
fp32,cpu-hw,sqrt,0.1536,6509493570,0.000,65536,65536,30875,0.3108
fp32,libcft,add,137.9837,7247233,1.000,262144,262144,5,0.1809
fp32,mpfr,add,17.9718,55642654,0.130,262144,262144,34,0.1602
fp32,mpfr+754,add,27.2773,36660567,0.198,262144,262144,21,0.1502
fp32,cpu-hw,add,0.0932,10725376170,0.001,262144,262144,6134,0.1499
fp32,libcft,mul,108.1034,9250400,1.000,262144,262144,6,0.1700
fp32,mpfr,mul,12.1542,82276209,0.112,262144,262144,48,0.1529
fp32,mpfr+754,mul,22.8735,43718733,0.212,262144,262144,27,0.1619
