format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,mpfr+754,fma,44.3593,22543174,0.166,16384,16384,430,0.3125
fp32,cpu-hw,fma,1.6862,593033768,0.006,16384,16384,11336,0.3132
fp32,libcft,div,4539.2416,220301,1.000,16384,16384,5,0.3719
fp32,mpfr,div,18.9650,52728657,0.004,16384,16384,1009,0.3135
fp32,mpfr+754,div,24.8785,40195341,0.005,16384,16384,767,0.3126
fp32,cpu-hw,div,0.7002,1428173296,0.000,16384,16384,27142,0.3114
fp32,libcft,sqrt,5394.1746,185385,1.000,16384,16384,4,0.3535
fp32,mpfr,sqrt,26.9883,37053056,0.005,16384,16384,709,0.3135
fp32,mpfr+754,sqrt,33.2996,30030416,0.006,16384,16384,576,0.3143
fp32,cpu-hw,sqrt,1.2045,830246343,0.000,16384,16384,15771,0.3112
fp32,libcft,add,299.1053,3343305,1.000,65536,65536,16,0.3136
fp32,mpfr,add,24.1304,41441449,0.081,65536,65536,198,0.3131
fp32,mpfr+754,add,30.0716,33253980,0.101,65536,65536,159,0.3134
fp32,cpu-hw,add,0.6487,1541592749,0.002,65536,65536,7348,0.3124
fp32,libcft,mul,232.3994,4302937,1.000,65536,65536,21,0.3198
fp32,mpfr,mul,19.1236,52291315,0.082,65536,65536,251,0.3146
fp32,mpfr+754,mul,24.7733,40366059,0.107,65536,65536,192,0.3117
fp32,cpu-hw,mul,0.6309,1584988007,0.003,65536,65536,7330,0.3031
fp32,libcft,fma,266.8865,3746912,1.000,65536,65536,18,0.3148
fp32,mpfr,fma,38.6505,25872869,0.145,65536,65536,124,0.3141
fp32,mpfr+754,fma,44.9714,22236363,0.169,65536,65536,107,0.3154
fp32,cpu-hw,fma,1.6892,592005013,0.006,65536,65536,2828,0.3131
fp32,libcft,div,4757.4498,210197,1.000,65536,65536,1,0.3118
fp32,mpfr,div,21.4383,46645456,0.005,65536,65536,209,0.2936
fp32,mpfr+754,div,25.2316,39632848,0.005,65536,65536,190,0.3142
fp32,cpu-hw,div,0.7137,1401075485,0.000,65536,65536,6735,0.3150
fp32,libcft,sqrt,5391.7348,185469,1.000,65536,65536,1,0.3534
fp32,mpfr,sqrt,27.6077,36221721,0.005,65536,65536,173,0.3130
fp32,mpfr+754,sqrt,33.6575,29711054,0.006,65536,65536,142,0.3132
fp32,cpu-hw,sqrt,1.1464,872311107,0.000,65536,65536,4096,0.3077
fp32,libcft,add,298.7665,3347096,1.000,262144,262144,2,0.1566
fp32,mpfr,add,31.3630,31884725,0.105,262144,262144,18,0.1480
fp32,mpfr+754,add,36.6825,27260949,0.123,262144,262144,16,0.1539
